20180426_3_xls-data.xls;26.04.2018: Bundeswehreinsatz in Mali (EUTM Mali)
20180426_4_xls-data.xls;26.04.2018: Ausschluss der NPD von der Parteienfinanzierung
20180322_5_xls-data.xls;22.03.2018: Bundeswehreinsatz in Darfur (UNAMID)
20180322_4_xls-data.xls;22.03.2018: Bundeswehreinsatz in Südsudan (UNMISS)
20180322_2_xls-data.xls;22.03.2018: Bundeswehreinsatz in Afghanistan (Resolute Support)
20180322_1_xls-data.xls;22.03.2018: Bundeswehreinsatz zur Stabilisierung Iraks
20180322_3_xls-data.xls;22.03.2018: Bundeswehreinsatz im Mittelmeer (SEA GUARDIAN)
20180316_xls-data.xls;16.03.2018: Einführung umfassender Grenzkontrollen
20180222_1_xls-data.xls;22.02.2018: Verhalten der Bundesregierung im Fall Deniz Yücel 19/846
20180201_3_xls-data.xls;01.02.2018: Familiennachzug zu subsidiär Schutzberechtigten, Gesetzentwurf der Abgeordneten Ulla Jelpke, Dr. André Hahn, Gökay Akbulut, weiterer Abgeordneter und der Fraktion DIE LINKE.
20180201_1_xls-data.xls;01.02.2018: Familien­nachzug zu subsidiär Schut­zberech­tigten, Gesetz­entwurf der Fraktion der CDU/CSU
20180201_2_xls-data.xls;01.02.2018: Familiennachzug zu subsidiär Schutzberechtigten, Gesetzentwurf der Fraktion der AfD
20171213_3_xls-data.xls;13.12.2017: Anpassungsverfahren § 11 des Abgeordnetengesetzes
20171213_2_xls-data.xls;13.12.2017: Bundeswehreinsatz in Südsudan (UNMISS)
20171213_1_xls-data.xls;13.12.2017: Bundeswehreinsatz in Darfur (UNAMID)
20171212_5_xls-data.xls;12.12.2017: Bundeswehreinsatz in Mali (MINUSMA)
20171212_4_xls-data.xls;12.12.2017: Bundeswehreinsatz in Afghanistan (Resolute Support)
20171212_3_xls-data.xls;12.12.2017: Bundeswehreinsatz im Irak
20171212_2_xls-data.xls;12.12.2017: Bundeswehreinsatz gegen die Terrororganisation IS
20171212_1_xls-data.xls;12.12.2017: Bundeswehreinsatz im Mittelmeer (SEA GUARDIAN)
20170630_1_xls-data.xls;30.06.2017: Eheschließung für Personen gleichen Geschlechts
20170629_2_xls-data.xls;29.06.2017: Bundeswehreinsatz „United Nations“United Nations Interim Force in Lebanon„ (UNIFIL)
20170629_1_xls-data.xls;29.06.2017: Bundeswehreinsatz EUNAVFOR MED Operation SOPHIA
20170623_1_xls-data.xls;23.06.2017: Abschaffung der sachgrundlosen Befristung
20170622_2_xls-data.xls;22.06.2017: Bundeswehreinsatz in Kosovo (KFOR)
20170622_1_xls-data.xls;22.06.2017: Änderung von Artikel 21 des Grundgesetzes (Parteienfinanzierung)
20170621_2_xls-data.xls;21.06.2017: Antrag zur Verlegung des Bundeswehrkontingents von Incirlik nach Al Azraq
20170621_1_xls-data.xls;21.06.2017: Beschlussempfehlung zum Abzug der Bundeswehr aus Incirlik
20170601_12_xls-data.xls;01.06.2017: Sofortiger Abschiebestopp nach Afghanistan
20170601_11_xls-data.xls;01.06.2017: Abschiebung nach Afghanistan
20170601_10_xls-data.xls;01.06.2017: Rentenüberleitung
20170601_8_xls-data.xls;01.06.2017: Entwurf eines Gesetzes zur Änderung des Grundgesetzes (Artikel 90, 91c, 104b, 104c, 107, 108, 109a, 114, 125c, 143d, 143e, 143f, 143g)
20170601_5_xls-data.xls;01.06.2017: Artikel 1 Nummer 5 des Gesetzentwurfs in der Ausschussfassung betrifft Artikel 107
20170601_13_xls-data.xls;01.06.2017: Neue Lagebeurteilung für Afghanistan
20170601_3_xls-data.xls;01.06.2017: Änderung von Artikel 91 b und Artikel 104c des Grundgesetzes
20170601_2_xls-data.xls;01.06.2017: Änderung von Artikel 90 und Artikel 143e des Grundgesetzes
20170601_9_xls-data.xls;01.06.2017: Änderungsantrag der Fraktion Die Linke zur Neuregelung des bundesstaatlichen Finanzausgleichssystems
20170601_4_xls-data.xls;01.06.2017: Artikel 1 Nummer 1 des Gesetzentwurfs in der Ausschussfassung betrifft Artikel 90 Grundgesetz
20170601_7_xls-data.xls;01.06.2017: Artikel 1 Nummer 11 des Gesetzentwurfs in der Ausschussfassung betrifft Artikel 143e Grundgesetz
20170601_1_xls-data.xls;01.06.2017: Änderung von Artikel 90 des Grundgesetzes
20170601_6_xls-data.xls;01.06.2017: Artikel 1 Nummer 9 des Gesetzentwurfs in der Ausschussfassung betrifft Artikel 125c Grundgesetz
20170518_2_xls-data.xls;18.05.2017: Bundeswehreinsatz EU NAFVOR Operation Atalanta
20170518_1_xls-data.xls;18.05.2017: Bundeswehreinsatz EUTM Mali
20170330_3_xls-data.xls;30.03.2017: Bundeswehreinsatz EUTM Somalia
20170330_2_xls-data.xls;30.03.2017: Transparenz von Entgeltstrukturen 2
20170330_1_xls-data.xls;30.03.2017: Transparenz von Entgeltstrukturen
20170324_2_xls-data.xls;24.03.2017: Änderung des Zweiten Verkehrsteueränderungsgesetzes
20170324_1_xls-data.xls;24.03.2017: Erstes Gesetz zur Änderung des Infrastrukturabgabengesetzes
20170309_4_xls-data.xls;09.03.2017: Gesetzentwurf Dämpfung des Mietanstiegs (Streichung Rügepflicht / Schaffung Auskunftsrecht)
20170309_3_xls-data.xls;09.03.2017: Gesetzentwurf Dämpfung des Mietanstiegs (umfassende Modernisierungen)
20170309_2_xls-data.xls;09.03.2017: Beschlussempfehlung zu Mietpreisbremse wirkungsvoll ausgestalten
20170309_1_xls-data.xls;09.03.2017: Entschließungsantrag zum Europäischen Rat am 9. März 2017
20170126_2_xls-data.xls;26.01.2017: Ausbildungsunterstützung der Bundeswehr im Irak
20170126_1_xls-data.xls;26.01.2017: Bundeswehreinsatz in Mali (MINUSMA)
20170119_3_xls-data.xls;19.01.2017: Dragoner-Areal dem Land Berlin zum Kauf anbieten
20170119_2_xls-data.xls;19.01.2017: Beschlussempfehlung Rente DDR-Krankenschwestern
20170119_1_xls-data.xls;19.01.2017: Beschlussempfehlung Rente DDR-Bergleute
20161215_5_xls-data.xls;15.12.2016: Entwurf eines Gesetzes zur Stärkung der Bekämpfung der Schwarzarbeit und illegalen Beschäftigung
20161215_4_xls-data.xls;15.12.2016: Beschlussempfehlung Bundeswehreinsatz in Afghanistan
20161215_3_xls-data.xls;15.12.2016: Beschlussempfehlung Bundeswehreinsatz in Darfur (UNAMID)
